"genes"	"logFC"	"p_value"	"q_value"
"6455"	"FBXO44"	-0.948486	0.46785	0.99948
"6456"	"FBXO45"	0.124221	0.91855	0.99948
"6457"	"FBXO46"	1.30882	0.2199	0.974331
"6458"	"FBXO47"	0	1	1
"6459"	"FBXO48"	1.78736	1	1
"6460"	"FBXO5"	-2.9166	0.2601	0.99948
"6461"	"FBXO6"	0.0757336	0.96115	0.99948
"6462"	"FBXO7"	0.623537	0.62985	0.99948
"6463"	"FBXO8"	-0.463741	0.7494	0.99948
"6464"	"FBXO9"	-0.568659	0.6346	0.99948
"6465"	"FBXW10"	0.866007	0.4373	0.99948
"6466"	"FBXW11"	0.119261	0.9152	0.99948
"6467"	"FBXW12"	0	1	1
"6468"	"FBXW2"	-0.260556	0.7083	0.99948
"6469"	"FBXW4"	-0.179956	0.9077	0.99948
"6470"	"FBXW4P1"	-0.878738	0.58075	0.99948
"6471"	"FBXW5"	-0.601876	0.77245	0.99948
"6472"	"FBXW7"	0.733122	0.5358	0.99948
"6473"	"FBXW8"	-0.0899423	0.9412	0.99948
"6474"	"FBXW9"	0.150656	0.84995	0.99948
"6475"	"FCAMR"	0.529784	1	1
"6476"	"FCAR"	-0.0926287	0.939	0.99948
"6477"	"FCER1A"	3.48398	0.00095	0.0397764
"6478"	"FCER1G"	0.174431	0.74385	0.99948
"6479"	"FCER2"	0.0421403	0.9781	0.99948
"6480"	"FCF1"	0.233959	0.8244	0.99948
"6481"	"FCGBP"	1.95027	0.2351	0.987026
"6482"	"FCGR1A"	-0.00671266	0.9866	0.99948
"6483"	"FCGR1B"	0.055649	0.9536	0.99948
"6484"	"FCGR1C"	-0.14751	0.9068	0.99948
"6485"	"FCGR2A"	-0.279947	0.6577	0.99948
"6486"	"FCGR2B"	-0.698818	0.5496	0.99948
"6487"	"FCGR2C"	-0.595298	0.2872	0.99948
"6488"	"FCGR3A"	-0.433658	0.4852	0.99948
"6489"	"FCGR3B"	-0.341374	0.58625	0.99948
"6490"	"FCGRT"	-0.272842	0.77665	0.99948
"6491"	"FCHO1"	-0.264474	0.8274	0.99948
"6492"	"FCHO2"	-0.247998	0.66765	0.99948
"6493"	"FCHSD1"	-1.72465	0.19905	0.958019
"6494"	"FCHSD2"	-0.148998	0.7485	0.99948
"6495"	"FCMR"	-0.270585	0.7854	0.99948
"6496"	"FCN1"	0.136382	0.85205	0.99948
"6497"	"FCN2"	-0.964659	1	1
"6498"	"FCN3"	0	1	1
"6499"	"FCRL1"	1.70073	1	1
"6500"	"FCRL2"	0.542835	1	1
"6501"	"FCRL3"	8.05918	0.1601	0.899958
"6502"	"FCRL4"	-797.519	1	1
"6503"	"FCRL5"	5.20948	0.2793	0.99948
"6504"	"FCRL6"	1.34226	1	1
"6505"	"FCRLA"	-797.519	1	1
"6506"	"FCRLB"	-0.364483	1	1
"6507"	"FDCSP"	0	1	1
"6508"	"FDFT1"	-0.132946	0.88955	0.99948
"6509"	"FDPS"	0.0413976	0.97285	0.99948
"6510"	"FDPSP2"	0.0836806	0.9461	0.99948
"6511"	"FDX1"	0.45416	0.7073	0.99948
"6512"	"FDX1L"	0.471613	0.5595	0.99948
"6513"	"FDXACB1"	-1.86451	0.14225	0.862495
"6514"	"FDXR"	-0.146692	0.90175	0.99948
"6515"	"FECH"	0.335722	0.7293	0.99948
"6516"	"FEM1A"	-0.383873	0.72525	0.99948
"6517"	"FEM1B"	-0.0301823	0.95705	0.99948
"6518"	"FEM1C"	0.460353	0.3812	0.99948
"6519"	"FEN1"	-0.0160348	0.98645	0.99948
"6520"	"FENDRR"	-1.34361	1	1
"6521"	"FER"	0.447934	0.61435	0.99948
"6522"	"FER1L4"	1.7922	0.24725	0.994777
"6523"	"FER1L5"	768.314	1	1
"6524"	"FER1L6"	1.1556	1	1
"6525"	"FER1L6-AS1"	11.3388	0.33055	0.99948
"6526"	"FER1L6-AS2"	0	1	1
"6527"	"FERD3L"	0	1	1
"6528"	"FERMT1"	-0.405898	0.6334	0.99948
"6529"	"FERMT2"	-0.0512339	0.9696	0.99948
"6530"	"FERMT3"	-0.492907	0.46405	0.99948
"6531"	"FES"	-0.900784	0.42135	0.99948
"6532"	"FETUB"	768.314	1	1
"6533"	"FEV"	0	1	1
"6534"	"FEZ1"	0.836729	1	1
"6535"	"FEZ2"	-0.747056	0.6212	0.99948
"6536"	"FEZF1"	0	1	1
"6537"	"FEZF1-AS1"	0	1	1
"6538"	"FEZF2"	0	1	1
"6539"	"FFAR1"	6.00752	0.1601	0.899958
"6540"	"FFAR2"	-0.193944	0.7351	0.99948
"6541"	"FFAR3"	-1.30662	0.12755	0.826212
"6542"	"FFAR4"	-0.910618	1	1
"6543"	"FGA"	0	1	1
"6544"	"FGB"	0.018919	1	1
"6545"	"FGD1"	-2.07129	0.0118	0.224339
"6546"	"FGD2"	-0.442842	0.75295	0.99948
"6547"	"FGD3"	0.325656	0.90005	0.99948
"6548"	"FGD4"	0.897558	0.2949	0.99948
"6549"	"FGD5"	1.31912	0.15655	0.893593
"6550"	"FGD5-AS1"	-0.958549	0.4585	0.99948
"6551"	"FGD5P1"	0.842229	1	1
"6552"	"FGD6"	0.614817	0.512	0.99948
"6553"	"FGF1"	0.277862	0.84585	0.99948
"6554"	"FGF10"	0	1	1
"6555"	"FGF10-AS1"	0	1	1
"6556"	"FGF11"	1.31274	0.2031	0.960284
"6557"	"FGF12"	-5.76891	0.0174	0.290073
"6558"	"FGF12-AS1"	0	1	1
"6559"	"FGF13"	0.96672	0.3917	0.99948
"6560"	"FGF13-AS1"	0	1	1
"6561"	"FGF14"	-797.519	1	1
"6562"	"FGF14-AS1"	0	1	1
"6563"	"FGF14-AS2"	-2.72928	1	1
"6564"	"FGF14-IT1"	0	1	1
"6565"	"FGF16"	0	1	1
"6566"	"FGF17"	0	1	1
"6567"	"FGF18"	768.314	1	1
"6568"	"FGF19"	0	1	1
"6569"	"FGF2"	-0.286885	0.85195	0.99948
"6570"	"FGF20"	0	1	1
"6571"	"FGF21"	0	1	1
"6572"	"FGF22"	0	1	1
"6573"	"FGF23"	-3.2315	1	1
"6574"	"FGF3"	2.40712	1	1
"6575"	"FGF4"	0	1	1
"6576"	"FGF5"	-1.24513	1	1
"6577"	"FGF6"	0	1	1
"6578"	"FGF7"	768.314	1	1
"6579"	"FGF8"	0.0607202	1	1
"6580"	"FGF9"	1.59269	1	1
"6581"	"FGFBP1"	-1.98993	1	1
"6582"	"FGFBP2"	0	1	1
"6583"	"FGFBP3"	-0.0320393	1	1
"6584"	"FGFR1"	0.191037	0.85495	0.99948
"6585"	"FGFR1OP"	-0.732944	0.44255	0.99948
"6586"	"FGFR1OP2"	-0.659184	0.5861	0.99948
"6587"	"FGFR2"	-1.07939	0.20625	0.961533
"6588"	"FGFR3"	0.103612	0.9308	0.99948
"6589"	"FGFR4"	-3.87727	1	1
"6590"	"FGFRL1"	-0.487761	0.5824	0.99948
"6591"	"FGG"	0	1	1
"6592"	"FGGY"	-0.663666	0.547	0.99948
"6593"	"FGL1"	768.314	1	1
"6594"	"FGL2"	-1.03289	0.3871	0.99948
"6595"	"FGR"	0.00170036	0.99795	0.99948
"6596"	"FH"	0.794862	0.4613	0.99948
"6597"	"FHAD1"	-0.182703	0.86005	0.99948
"6598"	"FHDC1"	-0.404441	0.7745	0.99948
"6599"	"FHIT"	0.700384	0.73315	0.99948
"6600"	"FHL1"	-0.704166	1	1
"6601"	"FHL2"	0.41773	0.7316	0.99948
"6602"	"FHL3"	-0.858774	0.42185	0.99948
"6603"	"FHL5"	0	1	1
"6604"	"FHOD1"	-0.286562	0.8287	0.99948
"6605"	"FHOD3"	-3.30875	0.2503	0.994777
"6606"	"FIBCD1"	0	1	1
"6607"	"FIBIN"	-1.48945	1	1
"6608"	"FIBP"	-0.522794	0.71105	0.99948
"6609"	"FICD"	1.81069	0.02895	0.400117
"6610"	"FIG4"	-2.04497	0.15635	0.893089
"6611"	"FIGF"	211.95	1	1
"6612"	"FIGLA"	0	1	1
"6613"	"FIGN"	0.121033	1	1
"6614"	"FIGNL1"	-0.430712	1	1
"6615"	"FIGNL2"	-2.41265	0.00785	0.171787
"6616"	"FILIP1"	0.0535786	1	1
"6617"	"FILIP1L"	-0.911838	0.4477	0.99948
"6618"	"FIP1L1"	0.480683	0.6423	0.99948
"6619"	"FIRRE"	-2.23357	1	1
"6620"	"FIS1"	-0.689892	0.517	0.99948
"6621"	"FITM1"	1.5974	1	1
"6622"	"FITM2"	-8.20079	1e-04	0.00770585
"6623"	"FIZ1"	-1.81456	0.02835	0.39529
"6624"	"FJX1"	2.52087	0.00445	0.112117
"6625"	"FKBP10"	-3.48809	1	1
"6626"	"FKBP11"	-0.823632	0.52655	0.99948
"6627"	"FKBP14"	-0.0447488	0.96005	0.99948
"6628"	"FKBP15"	0.282877	0.6151	0.99948
"6629"	"FKBP1A"	-0.923789	0.2883	0.99948
"6630"	"FKBP1A-SDCBP2"	-4.74914	1	1
"6631"	"FKBP1AP1"	1.46618	1	1
"6632"	"FKBP1B"	0.226862	0.8684	0.99948
"6633"	"FKBP2"	-0.678658	0.71535	0.99948
"6634"	"FKBP3"	-0.0917718	0.9367	0.99948
"6635"	"FKBP4"	-0.374486	0.56265	0.99948
"6636"	"FKBP5"	-0.89219	0.1225	0.818016
"6637"	"FKBP6"	-2.41133	0.39845	0.99948
"6638"	"FKBP7"	768.314	1	1
"6639"	"FKBP8"	0.332542	0.61445	0.99948
"6640"	"FKBP9"	-0.02363	0.98165	0.99948
"6641"	"FKBP9P1"	0.530573	0.595	0.99948
"6642"	"FKBPL"	1.60608	0.06465	0.627738
"6643"	"FKRP"	-0.273723	0.8375	0.99948
"6644"	"FKSG29"	0	1	1
"6645"	"FKTN"	-0.0776169	0.94485	0.99948
"6646"	"FLAD1"	-2.14665	0.06705	0.639469
"6647"	"FLCN"	-0.546015	0.5599	0.99948
"6648"	"FLG"	0.0802843	0.95175	0.99948
"6649"	"FLG-AS1"	-0.961372	0.56255	0.99948
"6650"	"FLG2"	-2.29282	0.17615	0.929648
"6651"	"FLI1"	-0.927404	0.4152	0.99948
"6652"	"FLII"	-0.173688	0.7784	0.99948
"6653"	"FLJ10038"	-0.557216	0.70175	0.99948
"6654"	"FLJ12825"	0.430092	1	1
"6655"	"FLJ13224"	0.81456	1	1
"6656"	"FLJ16171"	-3.159	1	1
"6657"	"FLJ16779"	768.314	1	1
"6658"	"FLJ20021"	1.10277	1	1
"6659"	"FLJ21408"	0	1	1
"6660"	"FLJ22447"	-8.16993	0.332	0.99948
"6661"	"FLJ22763"	-797.519	1	1
"6662"	"FLJ23867"	0.680473	0.6543	0.99948
"6663"	"FLJ25758"	0	1	1
"6664"	"FLJ26245"	0	1	1
"6665"	"FLJ26850"	0	1	1
"6666"	"FLJ27354"	-0.279872	1	1
"6667"	"FLJ30679"	1.42865	1	1
"6668"	"FLJ31104"	2.61651	0.0038	0.100274
"6669"	"FLJ31356"	1.47413	0.36425	0.99948
"6670"	"FLJ31662"	-1.44579	1	1
"6671"	"FLJ32255"	1.56445	0.09395	0.748243
"6672"	"FLJ33360"	-3.295	1	1
"6673"	"FLJ33534"	768.314	1	1
"6674"	"FLJ33581"	-0.937402	1	1
"6675"	"FLJ34503"	-2.91454	1	1
"6676"	"FLJ35934"	-1.88307	0.02675	0.383648
"6677"	"FLJ36000"	-797.519	1	1
"6678"	"FLJ36777"	1.18539	1	1
"6679"	"FLJ37035"	-3.68475	1	1
"6680"	"FLJ37201"	768.314	1	1
"6681"	"FLJ37453"	0.6628	0.59965	0.99948
"6682"	"FLJ37505"	-0.116797	1	1
"6683"	"FLJ38122"	-797.519	1	1
"6684"	"FLJ38576"	768.314	1	1
"6685"	"FLJ40194"	768.314	1	1
"6686"	"FLJ40288"	0	1	1
"6687"	"FLJ41200"	-1.14109	1	1
"6688"	"FLJ41278"	-797.519	1	1
"6689"	"FLJ41941"	1.59045	1	1
"6690"	"FLJ42102"	2.74011	0.0039	0.102169
"6691"	"FLJ42351"	768.314	5e-05	0.00458449
"6692"	"FLJ42393"	-0.384603	0.79765	0.99948
"6693"	"FLJ42627"	-0.310258	0.79455	0.99948
"6694"	"FLJ42969"	0.1854	1	1
"6695"	"FLJ43315"	0	1	1
"6696"	"FLJ43879"	-1.89708	1	1
"6697"	"FLJ44635"	0.364659	1	1
"6698"	"FLJ45079"	-0.783444	1	1
"6699"	"FLJ45513"	0.419782	0.6333	0.99948
"6700"	"FLJ46066"	0	1	1
"6701"	"FLJ46284"	-797.519	1	1
"6702"	"FLJ46906"	1.3513	1	1
"6703"	"FLNA"	0.368635	0.43105	0.99948
"6704"	"FLNB"	0.0702006	0.91235	0.99948
"6705"	"FLNC"	4.0908	0.00305	0.086979
"6706"	"FLOT1"	0.232408	0.7085	0.99948
"6707"	"FLOT2"	0.587184	0.2516	0.994777
"6708"	"FLRT1"	-797.519	1	1
"6709"	"FLRT2"	2.18636	1	1
"6710"	"FLRT3"	4.45917	0.0669	0.638936
"6711"	"FLT1"	-0.669937	0.51955	0.99948
"6712"	"FLT3"	-0.957194	0.43555	0.99948
"6713"	"FLT3LG"	1.34864	0.40705	0.99948
"6714"	"FLT4"	-4.15158	1	1
"6715"	"FLVCR1"	2.9367	0.01695	0.285197
"6716"	"FLVCR1-AS1"	1.46409	0.50285	0.99948
"6717"	"FLVCR2"	-0.516899	0.8085	0.99948
"6718"	"FLYWCH1"	0.065559	0.9464	0.99948
"6719"	"FLYWCH2"	768.314	0.0042	0.107882
"6720"	"FMN1"	0.123241	0.84815	0.99948
"6721"	"FMN2"	-4.81851	0.3002	0.99948
"6722"	"FMNL1"	0.0359566	0.9547	0.99948
"6723"	"FMNL2"	0.183132	0.7342	0.99948
"6724"	"FMNL3"	0.371398	0.5994	0.99948
"6725"	"FMO1"	-797.519	0.05405	0.571967
"6726"	"FMO2"	-0.893168	0.47105	0.99948
"6727"	"FMO3"	5.05866	0.2202	0.974331
"6728"	"FMO4"	0.369426	0.7606	0.99948
"6729"	"FMO5"	3.81476	0.01915	0.308594
"6730"	"FMO6P"	0	1	1
"6731"	"FMO9P"	768.314	1	1
"6732"	"FMOD"	-2.80785	1	1
"6733"	"FMR1"	0.494482	0.47755	0.99948
"6734"	"FMR1-AS1"	768.314	1	1
"6735"	"FMR1NB"	0	1	1
"6736"	"FN1"	-0.296275	0.6554	0.99948
"6737"	"FN3K"	2.40997	0.00975	0.196451
"6738"	"FN3KRP"	-1.24875	0.31135	0.99948
"6739"	"FNBP1"	-0.179025	0.76145	0.99948
"6740"	"FNBP1L"	0.748621	0.6059	0.99948
"6741"	"FNBP4"	-0.0405371	0.93615	0.99948
"6742"	"FNDC1"	0	1	1
"6743"	"FNDC3A"	0.351352	0.59465	0.99948
"6744"	"FNDC3B"	-0.144168	0.75885	0.99948
"6745"	"FNDC4"	-0.998625	1	1
"6746"	"FNDC5"	1.1674	1	1
"6747"	"FNDC7"	-2.31863	1	1
"6748"	"FNDC8"	-797.519	1	1
"6749"	"FNDC9"	1.45538	0.4638	0.99948
"6750"	"FNIP1"	0.43056	0.46455	0.99948
"6751"	"FNIP2"	-0.0876696	0.88325	0.99948
"6752"	"FNTA"	-1.44061	0.25375	0.995957
"6753"	"FNTB"	-0.00408212	0.99785	0.99948
"6754"	"FOCAD"	-0.801167	0.50655	0.99948
"6755"	"FOCAD-AS1"	768.314	1	1
"6756"	"FOLH1"	-0.685935	0.6241	0.99948
"6757"	"FOLH1B"	0.456883	0.5723	0.99948
"6758"	"FOLR1"	-2.82015	0.131	0.83493
"6759"	"FOLR2"	-1.99617	0.3064	0.99948
"6760"	"FOLR3"	4.42026	0.00265	0.0789929
"6761"	"FOPNL"	-0.740651	0.4505	0.99948
"6762"	"FOS"	0.180119	0.7662	0.99948
"6763"	"FOSB"	0.166932	0.80175	0.99948
"6764"	"FOSL1"	1.23165	0.29945	0.99948
"6765"	"FOSL2"	0.508943	0.429	0.99948
"6766"	"FOXA1"	-1.37825	0.26885	0.99948
"6767"	"FOXA2"	768.314	1	1
"6768"	"FOXA3"	0	1	1
"6769"	"FOXB1"	768.314	5e-05	0.00458449
"6770"	"FOXB2"	0	1	1
"6771"	"FOXC1"	-0.522054	0.8107	0.99948
"6772"	"FOXC2"	2.94029	1	1
"6773"	"FOXC2-AS1"	0	1	1
"6774"	"FOXCUT"	0.216582	0.7755	0.99948
"6775"	"FOXD1"	-797.519	1	1
"6776"	"FOXD2"	-0.0704584	1	1
"6777"	"FOXD2-AS1"	2.97684	0.1186	0.81271
"6778"	"FOXD3"	0	1	1
"6779"	"FOXD3-AS1"	0	1	1
"6780"	"FOXD4"	1.15582	1	1
"6781"	"FOXD4L1"	768.314	1	1
"6782"	"FOXD4L3"	0	1	1
"6783"	"FOXD4L4"	768.314	1	1
"6784"	"FOXD4L5"	-1.66027	1	1
"6785"	"FOXD4L6"	-1.13541	1	1
"6786"	"FOXE1"	2.16593	0.00805	0.17432
"6787"	"FOXE3"	0	1	1
"6788"	"FOXF1"	3.55119	1	1
"6789"	"FOXF2"	0	1	1
"6790"	"FOXG1"	-2.27258	1	1
"6791"	"FOXG1-AS1"	768.314	1	1
"6792"	"FOXH1"	-3.02589	0.07175	0.660802
"6793"	"FOXI1"	768.314	0.1192	0.814851
"6794"	"FOXI2"	-7.86119	0.1346	0.843404
"6795"	"FOXI3"	0	1	1
"6796"	"FOXJ1"	-797.519	1	1
"6797"	"FOXJ2"	-0.368046	0.84385	0.99948
"6798"	"FOXJ3"	-0.475352	0.46135	0.99948
"6799"	"FOXK1"	-0.37788	0.82355	0.99948
"6800"	"FOXK2"	0.632883	0.581	0.99948
"6801"	"FOXL1"	-797.519	1	1
"6802"	"FOXL2"	0	1	1
"6803"	"FOXL2NB"	0.78358	1	1
"6804"	"FOXM1"	-0.270297	0.8609	0.99948
"6805"	"FOXN1"	-797.519	1	1
"6806"	"FOXN2"	0.981704	0.59735	0.99948
"6807"	"FOXN3"	0.533274	0.36505	0.99948
"6808"	"FOXN3-AS1"	-3.77179	0.35635	0.99948
"6809"	"FOXN3-AS2"	-5.30195	1	1
"6810"	"FOXN4"	768.314	1	1
"6811"	"FOXO1"	1.49531	0.29295	0.99948
"6812"	"FOXO3"	-0.403319	0.4991	0.99948
"6813"	"FOXO3B"	-0.181891	0.90715	0.99948
"6814"	"FOXO4"	0.251977	0.91445	0.99948
"6815"	"FOXO6"	0.32845	1	1
"6816"	"FOXP1"	0.729349	0.4983	0.99948
"6817"	"FOXP1-AS1"	3.80119	1	1
"6818"	"FOXP2"	-4.05599	1	1
"6819"	"FOXP3"	0.663986	0.7231	0.99948
"6820"	"FOXP4"	-1.58119	0.119	0.814338
"6821"	"FOXP4-AS1"	0	1	1
"6822"	"FOXQ1"	0.974801	0.51455	0.99948
"6823"	"FOXR1"	0	1	1
"6824"	"FOXR2"	-797.519	1	1
"6825"	"FOXRED1"	-0.365754	0.78475	0.99948
"6826"	"FOXRED2"	-1.31102	0.11615	0.807996
"6827"	"FOXS1"	0	1	1
"6828"	"FPGS"	-1.47546	0.1709	0.923957
"6829"	"FPGT"	1.7415	0.1527	0.882332
"6830"	"FPGT-TNNI3K"	-1.79044	1	1
"6831"	"FPR1"	0.140788	0.797	0.99948
"6832"	"FPR2"	0.393778	0.85475	0.99948
"6833"	"FPR3"	-0.108139	0.83005	0.99948
"6834"	"FRA10AC1"	-0.0919601	1	1
"6835"	"FRAS1"	-3.27263	0.0863	0.720597
"6836"	"FRAT1"	2.76222	0.09035	0.736164
"6837"	"FRAT2"	0.509835	0.3165	0.99948
"6838"	"FREM1"	2.03754	1	1
"6839"	"FREM2"	-0.0238577	1	1
"6840"	"FREM3"	0	1	1
"6841"	"FRG1"	-0.703523	0.37475	0.99948
"6842"	"FRG1BP"	-0.841576	0.35625	0.99948
"6843"	"FRG1CP"	0.610527	0.4939	0.99948
"6844"	"FRG1DP"	-0.854359	0.27715	0.99948
"6845"	"FRG1HP"	-0.176099	0.91695	0.99948
"6846"	"FRG1JP"	-1.75138	0.0519	0.559431
"6847"	"FRG2"	-1.66568	1	1
"6848"	"FRG2B"	0	1	1
"6849"	"FRG2C"	-4.8232	1	1
"6850"	"FRG2DP"	0	1	1
"6851"	"FRG2EP"	-797.519	1	1
"6852"	"FRK"	0.391925	0.7659	0.99948
"6853"	"FRMD1"	2.7901	1	1
"6854"	"FRMD3"	1.39639	0.19675	0.957125
"6855"	"FRMD4A"	-1.03327	0.41355	0.99948
"6856"	"FRMD4B"	-0.128942	0.8013	0.99948
"6857"	"FRMD5"	768.314	1	1
"6858"	"FRMD6"	-3.06957	0.0374	0.470324
"6859"	"FRMD6-AS1"	0.398416	1	1
"6860"	"FRMD6-AS2"	0	1	1
"6861"	"FRMD7"	3.64503	1	1
"6862"	"FRMD8"	-0.231117	0.91505	0.99948
"6863"	"FRMD8P1"	1.51538	1	1
"6864"	"FRMPD1"	0	1	1
"6865"	"FRMPD2"	-797.519	1	1
"6866"	"FRMPD2B"	0	1	1
"6867"	"FRMPD3"	-797.519	1	1
"6868"	"FRMPD3-AS1"	0	1	1
"6869"	"FRMPD4"	0.472387	1	1
"6870"	"FRRS1"	-0.734426	0.61015	0.99948
"6871"	"FRRS1L"	0	1	1
"6872"	"FRS2"	1.41155	0.2797	0.99948
"6873"	"FRS3"	2.5483	0.00215	0.0686058
"6874"	"FRY"	-0.308252	0.82535	0.99948
"6875"	"FRY-AS1"	1.57591	1	1
"6876"	"FRYL"	0.101384	0.8504	0.99948
"6877"	"FRZB"	0	1	1
"6878"	"FSBP"	0.60624	1	1
"6879"	"FSCB"	0	1	1
"6880"	"FSCN1"	0.161759	0.9085	0.99948
"6881"	"FSCN2"	-797.519	1	1
"6882"	"FSCN3"	0	1	1
"6883"	"FSD1"	0	1	1
"6884"	"FSD1L"	-1.49724	0.4479	0.99948
"6885"	"FSD2"	-0.0844816	1	1
"6886"	"FSHB"	0	1	1
"6887"	"FSHR"	0	1	1
"6888"	"FSIP1"	1.19202	1	1
"6889"	"FSIP2"	768.314	1	1
"6890"	"FST"	0.363967	1	1
"6891"	"FSTL1"	-0.318008	0.8621	0.99948
"6892"	"FSTL3"	-2.23847	0.0304	0.411978
"6893"	"FSTL4"	6.29795	1	1
"6894"	"FSTL5"	0	1	1
"6895"	"FTCD"	768.314	1	1
"6896"	"FTCDNL1"	768.314	1	1
"6897"	"FTH1"	0.314971	0.4948	0.99948
"6898"	"FTH1P18"	0	1	1
"6899"	"FTH1P3"	0.588936	0.67835	0.99948
"6900"	"FTHL17"	0	1	1
"6901"	"FTL"	0.166342	0.6902	0.99948
"6902"	"FTLP10"	-4.29649	1	1
"6903"	"FTMT"	0	1	1
"6904"	"FTO"	-1.72483	0.19385	0.952614
"6905"	"FTO-IT1"	0	1	1
"6906"	"FTSJ1"	1.38456	0.21375	0.97072
"6907"	"FTSJ2"	-0.537725	0.6056	0.99948
"6908"	"FTSJ3"	-0.0206194	0.9899	0.99948
"6909"	"FTX"	0.92493	0.4508	0.99948
"6910"	"FUBP1"	-0.108102	0.86405	0.99948
"6911"	"FUBP3"	-0.351489	0.88025	0.99948
"6912"	"FUCA1"	0.295406	0.5737	0.99948
"6913"	"FUCA2"	0.00453634	0.99585	0.99948
"6914"	"FUK"	-1.09616	0.20555	0.961512
"6915"	"FUNDC1"	1.4417	0.0915	0.740106
"6916"	"FUNDC2"	0.290908	0.78975	0.99948
"6917"	"FUNDC2P2"	0	1	1
"6918"	"FUOM"	-1.46376	0.20515	0.961512
"6919"	"FURIN"	0.806117	0.1276	0.826212
"6920"	"FUS"	0.321156	0.628	0.99948
"6921"	"FUT1"	0.300336	1	1
"6922"	"FUT10"	-3.02191	0.00175	0.059793
"6923"	"FUT11"	-1.56079	0.19995	0.959086
"6924"	"FUT2"	0.979256	0.323	0.99948
"6925"	"FUT3"	0.649549	0.5993	0.99948
"6926"	"FUT4"	-0.550319	0.6776	0.99948
"6927"	"FUT5"	0.981748	0.22815	0.983277
"6928"	"FUT6"	-1.00981	0.34165	0.99948
"6929"	"FUT7"	0.84819	0.6376	0.99948
"6930"	"FUT8"	0.649581	0.5303	0.99948
"6931"	"FUT8-AS1"	768.314	1	1
"6932"	"FUT9"	-3.56997	1	1
"6933"	"FUZ"	-1.44151	0.4158	0.99948
"6934"	"FXN"	0.0469949	0.9633	0.99948
"6935"	"FXR1"	0.48157	0.48095	0.99948
"6936"	"FXR2"	-0.246538	0.88375	0.99948
"6937"	"FXYD1"	768.314	1	1
"6938"	"FXYD2"	-0.46107	0.764	0.99948
"6939"	"FXYD3"	0.181546	0.86925	0.99948
"6940"	"FXYD4"	-0.878318	0.6364	0.99948
"6941"	"FXYD5"	-0.32594	0.78345	0.99948
"6942"	"FXYD6"	-0.576743	0.78315	0.99948
"6943"	"FXYD6-FXYD2"	9.01438	1	1
"6944"	"FXYD7"	-7.53421	0.0044	0.11105
"6945"	"FYB"	-0.743726	0.2359	0.987141
"6946"	"FYCO1"	-0.665508	0.6889	0.99948
"6947"	"FYN"	2.37052	0.0403	0.49268
"6948"	"FYTTD1"	1.0882	0.36645	0.99948
"6949"	"FZD1"	0.857325	0.43515	0.99948
"6950"	"FZD10"	2.02262	1	1
"6951"	"FZD10-AS1"	-0.0972149	1	1
"6952"	"FZD2"	-0.00499818	0.99475	0.99948
"6953"	"FZD3"	-3.23174	0.00075	0.0339539
"6954"	"FZD4"	-0.950404	0.52725	0.99948
"6955"	"FZD5"	-1.416	0.15805	0.896153
"6956"	"FZD6"	0.910294	0.45965	0.99948
"6957"	"FZD7"	2.3213	0.0355	0.456334
"6958"	"FZD8"	1.33742	1	1
"6959"	"FZD9"	-797.519	1	1
"6960"	"FZR1"	0.0376012	0.97195	0.99948
"6961"	"G0S2"	1.05338	0.03515	0.453444
"6962"	"G2E3"	-0.616995	0.598	0.99948
"6963"	"G3BP1"	0.291944	0.6524	0.99948
"6964"	"G3BP2"	0.320449	0.6032	0.99948
"6965"	"G6PC"	3.86331	0.00175	0.059793
"6966"	"G6PC2"	768.314	1	1
"6967"	"G6PC3"	1.81539	0.153	0.883072
"6968"	"G6PD"	0.0503373	0.9752	0.99948
"6969"	"GAA"	0.367556	0.6931	0.99948
"6970"	"GAB1"	-0.646419	0.6458	0.99948
"6971"	"GAB2"	0.0686653	0.91455	0.99948
"6972"	"GAB3"	0.709456	0.52965	0.99948
"6973"	"GAB4"	0	1	1
"6974"	"GABARAP"	-0.187437	0.64015	0.99948
"6975"	"GABARAPL1"	0.506328	0.4133	0.99948
"6976"	"GABARAPL2"	0.763937	0.21345	0.97027
"6977"	"GABARAPL3"	0.292823	1	1
"6978"	"GABBR1"	0.34361	0.74735	0.99948
"6979"	"GABBR2"	5.5236	1	1
"6980"	"GABPA"	0.682212	0.6048	0.99948
"6981"	"GABPB1"	-0.0986279	0.93985	0.99948
"6982"	"GABPB1-AS1"	-0.954897	0.5338	0.99948
"6983"	"GABPB2"	-2.99501	0.0029	0.0836898
"6984"	"GABRA1"	0	1	1
"6985"	"GABRA2"	-1.41228	0.147	0.870286
"6986"	"GABRA3"	-0.851371	1	1
"6987"	"GABRA4"	-0.227826	1	1
"6988"	"GABRA5"	0	1	1
"6989"	"GABRA6"	0	1	1
"6990"	"GABRB1"	0	1	1
"6991"	"GABRB2"	-797.519	1	1
"6992"	"GABRB3"	0	1	1
"6993"	"GABRD"	0	1	1
"6994"	"GABRE"	2.45554	0.25685	0.997946
"6995"	"GABRG1"	0	1	1
"6996"	"GABRG2"	0	1	1
"6997"	"GABRG3"	0	1	1
"6998"	"GABRG3-AS1"	0	1	1
"6999"	"GABRP"	0.476449	0.61765	0.99948
"7000"	"GABRQ"	0	1	1
"7001"	"GABRR1"	1.19234	1	1
"7002"	"GABRR2"	0.598166	1	1
